address,errorType,confidence,match_type,accuracy,layer,message
200 3RD ST N,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 200 3RD ST N, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.278853,44.98737]},""properties"":{""id"":""polyline:107382"",""gid"":""openstreetmap:street:polyline:107382"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:107382"",""country_code"":""US"",""name"":""North 3rd Street"",""street"":""North 3rd Street"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2291.101,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""North Loop"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872657"",""label"":""North 3rd Street, Minneapolis, MN, USA""},""bbox"":[-93.282397,44.984837,-93.275309,44.989903]}]"
135 SEYMOUR PL SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 135 SEYMOUR PL SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.214579,44.961252]},""properties"":{""id"":""polyline:129384"",""gid"":""openstreetmap:street:polyline:129384"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129384"",""country_code"":""US"",""name"":""Southeast Seymour Place"",""street"":""Southeast Seymour Place"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2296.657,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Prospect Park - East River Road"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525029"",""label"":""Southeast Seymour Place, Minneapolis, MN, USA""},""bbox"":[-93.21518,44.960831,-93.213978,44.961673]}]"
3240 EDMUND BLVD,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 3240 EDMUND BLVD, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
3200 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3200 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
1900 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1900 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1847 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1847 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1855 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1855 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
3058 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3058 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
601 14TH AVE SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 601 14TH AVE SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.234427,44.9822]},""properties"":{""id"":""polyline:129128"",""gid"":""openstreetmap:street:polyline:129128"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129128"",""country_code"":""US"",""name"":""Southeast 14th Avenue"",""street"":""Southeast 14th Avenue"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.642,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Marcy-Holmes"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872615"",""label"":""Southeast 14th Avenue, Minneapolis, MN, USA""},""bbox"":[-93.236553,44.97952,-93.232282,44.984868]}]"
2910 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 2910 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
