address,errorType,confidence,match_type,accuracy,layer,message
1830 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1830 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
2820 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 2820 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
101 SEYMOUR PL SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 101 SEYMOUR PL SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.214579,44.961252]},""properties"":{""id"":""polyline:129384"",""gid"":""openstreetmap:street:polyline:129384"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129384"",""country_code"":""US"",""name"":""Southeast Seymour Place"",""street"":""Southeast Seymour Place"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2296.657,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Prospect Park - East River Road"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525029"",""label"":""Southeast Seymour Place, Minneapolis, MN, USA""},""bbox"":[-93.21518,44.960831,-93.213978,44.961673]}]"
1300 7TH ST SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 1300 7TH ST SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.244775,44.987957]},""properties"":{""id"":""polyline:129287"",""gid"":""openstreetmap:street:polyline:129287"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129287"",""country_code"":""US"",""name"":""Southeast 7th Street"",""street"":""Southeast 7th Street"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2293.711,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Marcy-Holmes"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872615"",""label"":""Southeast 7th Street, Minneapolis, MN, USA""},""bbox"":[-93.248919,44.986337,-93.240632,44.989559]}]"
4621 SNELLING AVE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 4621 SNELLING AVE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.244314,44.960083]},""properties"":{""id"":""polyline:126715"",""gid"":""openstreetmap:street:polyline:126715"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:126715"",""country_code"":""US"",""name"":""Snelling Avenue"",""street"":""Snelling Avenue"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.394,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Seward"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872665"",""label"":""Snelling Avenue, Minneapolis, MN, USA""},""bbox"":[-93.244738,44.959148,-93.243656,44.961054]}]"
127 SEYMOUR PL SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 127 SEYMOUR PL SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.214579,44.961252]},""properties"":{""id"":""polyline:129384"",""gid"":""openstreetmap:street:polyline:129384"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129384"",""country_code"":""US"",""name"":""Southeast Seymour Place"",""street"":""Southeast Seymour Place"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2296.657,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Prospect Park - East River Road"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525029"",""label"":""Southeast Seymour Place, Minneapolis, MN, USA""},""bbox"":[-93.21518,44.960831,-93.213978,44.961673]}]"
805 12TH AVE SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 805 12TH AVE SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.237066,44.983451]},""properties"":{""id"":""polyline:129110"",""gid"":""openstreetmap:street:polyline:129110"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129110"",""country_code"":""US"",""name"":""Southeast 12th Avenue"",""street"":""Southeast 12th Avenue"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.41,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Marcy-Holmes"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872615"",""label"":""Southeast 12th Avenue, Minneapolis, MN, USA""},""bbox"":[-93.239328,44.980628,-93.234793,44.986264]}]"
104 SEYMOUR PL SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 104 SEYMOUR PL SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.214579,44.961252]},""properties"":{""id"":""polyline:129384"",""gid"":""openstreetmap:street:polyline:129384"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129384"",""country_code"":""US"",""name"":""Southeast Seymour Place"",""street"":""Southeast Seymour Place"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2296.657,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Prospect Park - East River Road"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525029"",""label"":""Southeast Seymour Place, Minneapolis, MN, USA""},""bbox"":[-93.21518,44.960831,-93.213978,44.961673]}]"
125 7TH ST SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 125 7TH ST SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.244775,44.987957]},""properties"":{""id"":""polyline:129287"",""gid"":""openstreetmap:street:polyline:129287"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129287"",""country_code"":""US"",""name"":""Southeast 7th Street"",""street"":""Southeast 7th Street"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2293.711,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Marcy-Holmes"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872615"",""label"":""Southeast 7th Street, Minneapolis, MN, USA""},""bbox"":[-93.248919,44.986337,-93.240632,44.989559]}]"
3215 EAST MINNEHAHA PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3215 EAST MINNEHAHA PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.270137,44.910814]},""properties"":{""id"":""polyline:72768"",""gid"":""openstreetmap:street:polyline:72768"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:72768"",""country_code"":""US"",""name"":""East Minnehaha Parkway"",""street"":""East Minnehaha Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2293.558,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Page"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872543"",""label"":""East Minnehaha Parkway, Minneapolis, MN, USA""},""bbox"":[-93.278098,44.905977,-93.261351,44.912463]}]"
3614 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3614 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
1851 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1851 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1829 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1829 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1710 LAKE ST W #Tract B,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1710 LAKE ST W #Tract B, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
3028 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3028 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
801 9TH AVE SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 801 9TH AVE SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.242091,44.984969]},""properties"":{""id"":""polyline:129306"",""gid"":""openstreetmap:street:polyline:129306"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129306"",""country_code"":""US"",""name"":""Southeast 9th Avenue"",""street"":""Southeast 9th Avenue"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2293.987,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Marcy-Holmes"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872615"",""label"":""Southeast 9th Avenue, Minneapolis, MN, USA""},""bbox"":[-93.242435,44.984627,-93.241746,44.98531]}]"
633 VAN BUREN ST NE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 633 VAN BUREN ST NE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.248633,45.002865]},""properties"":{""id"":""polyline:110275"",""gid"":""openstreetmap:street:polyline:110275"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:110275"",""country_code"":""US"",""name"":""Northeast Van Buren Street"",""street"":""Northeast Van Buren Street"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2293.07,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Logan Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420781081"",""label"":""Northeast Van Buren Street, Minneapolis, MN, USA""},""bbox"":[-93.248642,45.002273,-93.248629,45.003456]}]"
25 SEYMOUR PL SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 25 SEYMOUR PL SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.214579,44.961252]},""properties"":{""id"":""polyline:129384"",""gid"":""openstreetmap:street:polyline:129384"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129384"",""country_code"":""US"",""name"":""Southeast Seymour Place"",""street"":""Southeast Seymour Place"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2296.657,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Prospect Park - East River Road"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525029"",""label"":""Southeast Seymour Place, Minneapolis, MN, USA""},""bbox"":[-93.21518,44.960831,-93.213978,44.961673]}]"
3610 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3610 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
1851 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1851 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1400 HALL CV,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1400 HALL CV, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
